Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the capital of France?,Berlin,Paris,Madrid,Rome,B,2
What is 2 + 2?,3,4,5,6,B,1
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B,2
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,2
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,3
What is the chemical symbol for water?,H2O,CO2,O2,NaCl,A,2
How many continents are there?,5,6,7,8,C,1
What is the speed of light?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,A,3
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,2
What is the smallest prime number?,0,1,2,3,C,2
