question,option_a,option_b,option_c,option_d,option_e,answer,solution
"What is the place value of 5 in 3254710? (CLAT, 2010)","5","10000","50000","54710","","c","Place value of 5 = (5 × 10000) = 50000"
"The face value of 8 in the number 458926 is (R.R.B., 2006)","8","1000","8000","8926","","a","The face value of 8 in the given numeral is 8"
"The sum of the place values of 3 in the number 503535 is (M.B.A., 2005)","6","60","3030","3300","","c","Sum of the place values of 3 = (3000 + 30) = 3030"
"The difference between the place values of 7 and 3 in the number 527435 is","4","5","45","6970","","d","Difference between the place values of 7 and 3 = (7000 – 30) = 6970"
"The difference between the local value and the face value of 7 in the numeral 32675149 is","5149","64851","69993","75142","None of these","c","Difference between local value and face value of 7 = (70000 – 7) = 69993"
"The sum of the greatest and smallest number of five digits is (M.C.A., 2005)","11,110","10,999","109,999","111,110","","c","Required sum = (99999 + 10000) = 109999"
"If the largest three-digit number is subtracted from the smallest five-digit number, then the remainder is","1","9000","9001","90001","","c","Required difference = (10000 – 999) = 9001"
"The smallest number of 5 digits beginning with 3 and ending with 5 will be (R.R.B., 2006)","31005","30015","30005","30025","","c","Required number = 30005"
"What is the minimum number of four digits formed by using the digits 2, 4, 0, 7 ? (P.C.S., 2007)","2047","2247","2407","2470","","a","Required number = 2047"
"All natural numbers and 0 are called the ......... numbers. (R.R.B., 2006)","rational","integer","whole","prime","","c","All natural numbers and 0 are called whole numbers"
"Consider the following statements about natural numbers: (1) There exists a smallest natural number. (2) There exists a largest natural number. (3) Between two natural numbers, there is always a natural number. Which of the above statements is/are correct?","None","Only 1","1 and 2","2 and 3","","b","Clearly, there exists a smallest natural number, namely 1. So statement (1) is true. Statement (2) and (3) are false."
"Every rational number is also","an integer","a real number","a natural number","a whole number","","b","Clearly, every rational number is also a real number"
"The number π is (R.R.B., 2005)","a fraction","a recurring decimal","a rational number","an irrational number","","d","Clearly, π is an irrational number"
"The number √2 is a/an","rational number","natural number","irrational number","integer","","c","Since √2 is a non-terminating and non-repeating decimal, it is an irrational number"
"The number √3 is","a finite decimal","an infinite recurring decimal","equal to 1.732","an infinite non-recurring decimal","","d","√3 is an infinite non-recurring decimal"
"There are just two ways in which 5 may be expressed as the sum of two different positive (non-zero) integers, namely 5 = 4 + 1 = 3 + 2. In how many ways, 9 can be expressed as the sum of two different positive (non-zero) integers?","3","4","5","6","","b","9 = (1 + 8); 9 = (2 + 7); 9 = (3 + 6), 9 = (4 + 5). Thus, it can be done in 4 ways"
"P and Q are two positive integers such that PQ = 64. Which of the following cannot be the value of P + Q?","16","20","35","65","","c","We may have (64 and 1), (32 and 2), (8 and 8). In any case, the sum is not 35"
"If x + y + z = 9 and both y and z are positive integers greater than zero, then the maximum value x can take is (Campus Recruitment, 2006)","3","7","8","Data insufficient","","b","We may take the least values of y and z as y = 1 and z = 1. So, the maximum value of x is 7"
"What is the sum of the squares of the digits from 1 to 9?","105","260","285","385","","c","Sum = 1² + 2² + 3² + ... + 9² = (1/6) × 9 × 10 × 19 = 285"
"If n is an integer between 20 and 80, then any of the following could be n + 7 except","47","58","84","88","","d","(n + 7) = 88 ⇒ n = 81, which is false as 20 < n < 80"
"Which one of the following is the correct sequence in respect of the Roman numerals: C, D, L and M? (Civil Services, 2008)","C > D > L > M","M > L > D > C","M > D > C > L","L > C > D > M","","c","M = 1000; D = 500; C = 100; L = 50. Thus M > D > C > L"
"If the numbers from 1 to 24, which are divisible by 2 are arranged in descending order, which number will be at the 8th place from the bottom? (CLAT, 2010)","10","12","16","18","","c","Numbers are 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4, 2. 8th number from bottom is 16"
"2 – 2 + 2 – 2 + .......... 101 terms =?","–2","0","2","None of these","","c","Sum of first hundred terms is zero, and 101st term is 2. So, the sum of 101 terms is 2"
"98th term of the infinite series 1, 2, 3, 4, 1, 2, 3, 4, 1, 2, ........ is (M.C.A., 2005)","1","2","3","4","","b","96th term is 4. So, T97 = 1 and T98 = 2. Hence, the 98th term is 2"
"If x, y, z be the digits of a number beginning from the left, the number is","xyz","x + 10y + 100z","10x + y + 100z","100x + 10y + z","","d","Number = 100x + 10y + z"
"If x, y, z and w be the digits of a number beginning from the left, the number is","xyzw","wzyx","x + 10y + 100z + 1000w","10³x + 10²y + 10z + w","","d","Number = 10³x + 10²y + 10z + w"
"If n and p are both odd numbers, which of the following is an even number?","n + p","n + p + 1","np + 2","np","","a","Sum of two odd numbers is even. Thus (n + p) is even"
"If (n – 1) is an odd number, what are the two other odd numbers nearest to it?","n, n – 1","n, n – 2","n – 3, n + 1","n – 3, n + 5","","c","(n – 1) is odd ⇒ (n – 1) – 2 and (n – 1) + 2 are odd ⇒ (n – 3) and (n + 1) are odd"
"Which of the following is always odd?","Sum of two odd numbers","Difference of two odd numbers","Product of two odd numbers","None of these","","c","The product of two odd numbers is always odd"
"If x is an odd integer, then which of the following is true?","5x – 2 is even","5x² + 2 is odd","5x² + 3 is odd","None of these","","b","x is odd ⇒ x² is odd ⇒ 5x² is odd ⇒ (5x² + 2) is odd"
"If a and b are two numbers such that ab = 0, then (R.R.B., 2006)","a = 0 and b = 0","a = 0 or b = 0 or both","a = 0 and b ≠ 0","b = 0 and a ≠ 0","","b","ab = 0 ⇒ a = 0 or b = 0 or both are zero"
"If m, n, o, p and q are integers, then m (n + o) (p – q) must be even when which of the following is even? (P.C.S., 2008)","m","p","m + n","n + p","","a","When m is even, then m (n + o) (p – q) is even"
"If n is a negative number, then which of the following is the least?","0","–n","2n","n²","","c","n < 0 ⇒ 2n < 0, –n > 0 and n² > 0. Thus 2n is the least"
"The least prime number is","0","1","2","3","","c","The least prime number is 2"
"Consider the following statements: 1. If x and y are composite numbers, then x + y is always composite. 2. There does not exist a natural number which is neither prime nor composite. Which of the above statements is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","","d","Statement 1 is false (e.g., 4 + 15 = 19 which is prime). Statement 2 is false (1 is neither prime nor composite)"
"The number of prime numbers between 0 and 50 is","14","15","16","17","","b","Prime numbers between 0 and 50: 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47. Total = 15"
"The sum of all the prime numbers from 1 to 20 is","75","76","77","78","","c","Sum = 2 + 3 + 5 + 7 + 11 + 13 + 17 + 19 = 77"
"What is the sum of all natural numbers from 1 to 100? (CLAT-2016)","5050","6000","5000","5052","","a","Sum = n(n+1)/2 = 100×101/2 = 5050"
